순번	업소명	소재지(도로명)	메뉴카테고리	하위 분류
1	김금자숯불갈비	대구광역시 달성군 유가읍 테크노공원로 51, 105,106호	고기구이	돼지
2	명가갈비	대구광역시 달성군 유가읍 테크노공원로 51, 1층 101~102호	고기구이	돼지, 소
3	그릿 테크노점	대구광역시 달성군 유가읍 테크노공원로 51, 1층 103호	분식&패스트푸드&샐러드	
4	야 산오징어다 물회	대구광역시 달성군 유가읍 테크노공원로 51, 1층 108~109호	회해산물	오징어
5	그때그집	대구광역시 달성군 유가읍 테크노공원로 51, 4층 401호	술집	포차
6	퀸(Queen)	대구광역시 달성군 유가읍 테크노공원로 51, 6층 603호	술집	바
7	맛상(맛춤한상)	대구광역시 달성군 유가읍 테크노공원로 51, 701호	확인필요	
8	참치민족	대구광역시 달성군 유가읍 테크노공원로 51, 701호 (봉리타워613)	확인필요	
9	모려촌 테크노폴리스점	대구광역시 달성군 유가읍 테크노공원로 55, 1층	한식	볶음
10	거북이동네 대구현풍점	대구광역시 달성군 유가읍 테크노공원로 55, 1층	고기구이	돼지
11	청년양고기 테크노폴리스점	대구광역시 달성군 유가읍 테크노공원로 55, 1층	고기구이	양
12	에글렛	대구광역시 달성군 유가읍 테크노공원로 59, 101호	분식&패스트푸드&샐러드	
13	행자야식	대구광역시 달성군 유가읍 테크노공원로 59, 112호	술집	한식술집
14	선한어부	대구광역시 달성군 유가읍 테크노공원로 59, 1층 104~107호	회해산물	
15	테크노 손칼국수 테크노 포차	대구광역시 달성군 유가읍 테크노공원로 59, 1층 109호	국수	
16	장풍가 [ 구분애매함 ]	대구광역시 달성군 유가읍 테크노공원로 59, 1층 110,111호	고기구이	장어
17	토키와	대구광역시 달성군 유가읍 테크노공원로 59, 1층 113,114호	술집	이자카야
18	오늘의 한끼 카레&라멘	대구광역시 달성군 유가읍 테크노공원로 59, 204호	다국적음식	일본음식
19	석경 테크노폴리스점	대구광역시 달성군 유가읍 테크노공원로 59, 2층 201,203호	고기구이	소
20	백억커피 현풍테크노점	대구광역시 달성군 유가읍 테크노공원로 65, 1층 103,104호	카페&디저트	
21	풍국면 현풍점	대구광역시 달성군 유가읍 테크노공원로 65, 1층 106,107호	국수	
22	후포미가	대구광역시 달성군 유가읍 테크노공원로 65, 1층 108호	회해산물	아구
23	곤지암할매소머리국밥 테크노폴리스점	대구광역시 달성군 유가읍 테크노공원로 65, 1층 110호	국밥	소머리국밥
24	훗가이도	대구광역시 달성군 유가읍 테크노공원로 65, 1층 111호	고기구이	양
25	피치타임 대구현풍점	대구광역시 달성군 유가읍 테크노공원로 65, 레이크시티 102호	분식&패스트푸드&샐러드	피자
26	다라이 현풍유가점	대구광역시 달성군 유가읍 테크노공원로 65, 레이크시티 1층 109호	고기구이	돼지, 소
27	심돈 현풍테크노폴리스점	대구광역시 달성군 유가읍 테크노공원로 65, 레이크시티 1층 112,113호	고기구이	돼지
28	두끼 유가테크노점	대구광역시 달성군 유가읍 테크노공원로 65, 레이크시티 2층 203호	분식&패스트푸드&샐러드	
29	커리킹덤(Curry Kingdom)	대구광역시 달성군 유가읍 테크노공원로 65, 레이크시티 3층 301,302호	다국적음식	인도음식
30	[확인필요]킹스홀덤펍	대구광역시 달성군 유가읍 테크노공원로 65, 레이크시티 4층 402호	확인필요	
31	막창덕후 현풍테크노점	대구광역시 달성군 유가읍 테크노공원로 69, 101,102,103호	막창&곱창	
32	매스커피 현풍테크노점	대구광역시 달성군 유가읍 테크노공원로 69, 106호	카페&디저트	
33	국밥관	대구광역시 달성군 유가읍 테크노공원로 69, 107호	국밥	돼지국밥
34	쿠마키친 대구현풍점	대구광역시 달성군 유가읍 테크노공원로 69, 108,109호	다국적음식	일본음식
35	가마치통닭 테크노현풍점	대구광역시 달성군 유가읍 테크노공원로 69, 110호	치킨&찜닭	치킨
36	황제회수산회타운	대구광역시 달성군 유가읍 테크노공원로 69, 113호일부,114,115호  1층	회해산물	
37	오늘도 통통 테크노폴리스점	대구광역시 달성군 유가읍 테크노공원로 69, 1층 104호	분식&패스트푸드&샐러드	
38	금복식당	대구광역시 달성군 유가읍 테크노공원로 69, 1층 112호	한식	추어탕
39	뚠뚠이(tuntune) 슬림포크	대구광역시 달성군 유가읍 테크노공원로 69, 201,202,203호	고기구이	돼지
40	헤즈업 홀덤펍 현풍점	대구광역시 달성군 유가읍 테크노공원로 69, 2층 205호	술집	맥주
41	베트남 옛날 쌀국수	대구광역시 달성군 유가읍 테크노공원로 69, 3층 303호	다국적음식	베트남음식
42	핸즈커피 테크노중앙점	대구광역시 달성군 유가읍 테크노공원로 73, 1~2층 107,203호	카페&디저트	
43	콩지가 좋아하는 파스타	대구광역시 달성군 유가읍 테크노공원로 73, 101호	다국적음식	이탈리아음식
44	산장 삼겹 테크노폴리스점	대구광역시 달성군 유가읍 테크노공원로 73, 102호 (테크노밸리)	고기구이	돼지
45	등푸른(본점)	대구광역시 달성군 유가읍 테크노공원로 73, 103,104호	회해산물	
46	디저트 뮤지션	대구광역시 달성군 유가읍 테크노공원로 73, 1층 108호	카페&디저트	
47	몬스터커피 테크노폴리스점	대구광역시 달성군 유가읍 테크노공원로 73, 1층 109호	카페&디저트	
48	정다운 분식	대구광역시 달성군 유가읍 테크노공원로 73, 1층 110호	분식&패스트푸드&샐러드	
49	원할머니 보쌈	대구광역시 달성군 유가읍 테크노공원로 73, 201호 (테크노밸리)	족발&보쌈	보쌈
50	정성순대 테크노폴리스점	대구광역시 달성군 유가읍 테크노공원로 73, 2층 204호	한식	순대
51	엘아르카퀴에스	대구광역시 달성군 유가읍 테크노공원로 77, 1,2층 104,201,202호	카페&디저트	브런치
52	명랑부대찌개	대구광역시 달성군 유가읍 테크노공원로 77, 108호, 112호	한식	찌개
53	뭉돌이흑돼지 테크노폴리스점	대구광역시 달성군 유가읍 테크노공원로 77, 110,111호	고기구이	돼지
54	풍미 맛돈	대구광역시 달성군 유가읍 테크노공원로 77, 1층 101호	고기구이	돼지
55	포유키친	대구광역시 달성군 유가읍 테크노공원로 77, 1층 102호	카페&디저트	비건빵
56	국수나무 대구유가점	대구광역시 달성군 유가읍 테크노공원로 77, 1층 105호	국수	
57	오토메	대구광역시 달성군 유가읍 테크노공원로 77, 1층 109호	술집	이자카야
58	[확인필요] 에이시스 홀덤펍	대구광역시 달성군 유가읍 테크노공원로 77, 205호	확인필요	
59	꾸브라꼬 숯불치킨(대구현풍테크노점)	대구광역시 달성군 유가읍 테크노공원로 77, 애플타워 1층 107호	치킨&찜닭	치킨
60	오유미당 대구현풍테크노점	대구광역시 달성군 유가읍 테크노상업로 100, 102호	다국적음식	퓨전음식
61	배스킨라빈스 대구테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로 100, 108호	카페&디저트	아이스크림
62	고봉민김밥인 테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로 100, 1층 101호	분식&패스트푸드&샐러드	
63	맘스터치 대구현풍점	대구광역시 달성군 유가읍 테크노상업로 100, 1층 107호	분식&패스트푸드&샐러드	햄버거
64	불닭발땡초동대문엽기떡볶이테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로 100, 1층 110호	분식&패스트푸드&샐러드	
65	한돈참숯꼬기	대구광역시 달성군 유가읍 테크노상업로 100, 2층 205호	고기구이	돼지, 소
66	더리터 대구테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로 108, 101호	카페&디저트	
67	왓더버거 대구현풍점	대구광역시 달성군 유가읍 테크노상업로 108, 110호	분식&패스트푸드&샐러드	햄버거
68	선비꼬마김밥테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로 108, 1층 103호	분식&패스트푸드&샐러드	
69	구스켓 인 더 크로플 현풍테크노점	대구광역시 달성군 유가읍 테크노상업로 108, 1층 112호	카페&디저트	크로플
70	동동꽈배기 대구테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로 108, 테크노에이스 105호	카페&디저트	도넛
71	더조은 김밥	대구광역시 달성군 유가읍 테크노상업로 110, 102호	분식&패스트푸드&샐러드	
72	스마일꽈배기	대구광역시 달성군 유가읍 테크노상업로 110, 115호	카페&디저트	
73	갈비정	대구광역시 달성군 유가읍 테크노상업로 110, 201호, 202호	고기구이	돼지
74	평화육남매왕족발	대구광역시 달성군 유가읍 테크노상업로 110, 206호	족발&보쌈	족발
75	논페이지(nonpage)	대구광역시 달성군 유가읍 테크노상업로 111, 상가동 106호	카페&디저트	
76	하프커피 익스프레스 대구테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로 112,  110~111호	카페&디저트	
77	이삭토스트 대구테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로 112, 101호	분식&패스트푸드&샐러드	토스트
78	노브랜드버거 대구현풍점	대구광역시 달성군 유가읍 테크노상업로 112, 106호	분식&패스트푸드&샐러드	햄버거
79	마이카츠 현풍테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로 112, 113호	다국적음식	일본음식
80	장여사의 나뭇잎형 만두 매콤한 양념오뎅	대구광역시 달성군 유가읍 테크노상업로 112, 1동 109호	분식&패스트푸드&샐러드	
81	한솥도시락 테크노폴리스 봉리점	대구광역시 달성군 유가읍 테크노상업로 112, 1층 103호	분식&패스트푸드&샐러드	도시락
82	카페봄봄(테크노폴리스1호점)	대구광역시 달성군 유가읍 테크노상업로 112, 1층 105호	카페&디저트	
83	안흥찐빵,만두&노랑남비990	대구광역시 달성군 유가읍 테크노상업로 112, 1층 107호	분식&패스트푸드&샐러드	
84	라라코스트 테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로 120, 4층 413, 414	다국적음식	퓨전음식
85	해마푸드 - 즉석코너	대구광역시 달성군 유가읍 테크노상업로 120, OK포인트마트 달성점	확인필요	
86	그리너(greener) 테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로 120, 엠스퀘어플러스 107호	분식&패스트푸드&샐러드	
87	김밥 면 맛나분식	대구광역시 달성군 유가읍 테크노상업로 120, 엠스퀘어플러스 1-2층 134호	분식&패스트푸드&샐러드	
